,"Florida Real Estate Continuing Education, 1st Edition Final Exam Database 7-12-25",,,,,,,
,,,,,,,,
Book Name,Question #,Question Stem,Answer A,Answer B,Answer C,Answer D,Correct Answer,Correct Answer Explanation
Final Exam I,1.1,How many years is the initial license application valid for? ,2 years ,1 year ,3 years ,7 years ,a,
Final Exam I,1.2,A broker who serves multiple entities needs ________. ,branch licenses ,community licenses ,multiple licenses ,team licenses ,c,
Final Exam I,1.3,The _______ section of a homeowners policy contains the basic details of the insurance policy ,declarations ,policy ,information ,introduction ,a,
Final Exam I,1.4,Which insurance policy is the basis for most homeowners’ policies? ,HO-1 policy ,Basic policy ,HO-2 policy ,Homeowner policy ,a,
Final Exam I,1.5,Which of the following is NOT a protected class under the Florida Fair Housing Act? ,Drug addiction ,Familial status ,Sex ,Race ,a,
Final Exam I,1.6,How can a tenant terminate his or her rental agreement? ,The tenant can call the landlord and verbally state his or her intent to terminate ,The tenant can deliver a written 7-day notice to the landlord specifying the landlord’s noncompliance with law ,The tenant must deliver a 4-month notice to the landlord ,The tenant cannot terminate his or her rental agreement ,b,
Final Exam I,1.7,What must a broker do if he wants to change his registered trade name? ,The broker cannot change his registered trade name ,The broker must notify each client that his name is different ,The broker must have a new license issued ,The broker does not need to do anything ,c,
Final Exam I,1.8,For how many years must the broker maintain escrow records on a given transaction? ,1 year ,5 years ,7 years ,10 years ,b,
Final Exam I,1.9,NAR has recently changed Article 10 of the Code of Ethics. This change is due to a decrease in ___________ from agents posting hate speech on social media ,public trust ,mediation ,arbitration ,hurting other agents ,a,
Final Exam I,1.10,"Under Article 10 of the Code of Ethics, a Realtor® may not ",use hate speech or slurs in their social media ,may say anything they want anytime they want ,post on social media whatever is on their mind ,threaten to murder someone in a protected class ,a,
Final Exam I,1.11,Which of the following economic principles allows the owner of an income property to deduct a portion of the property’s value from gross income each year over the life of the asset? ,Depreciation ,Cost basis ,Diminishing returns ,Capital loss ,a,
Final Exam I,1.12,What is the first step in deriving the capital gain on a property? ,Identifying the beginning basis of the property ,Identifying the amount realized from the sale of the property ,Subtracting the adjusted basis from the amount realized ,Calculating the depreciation ,b,
Final Exam I,1.13,Which agency relationship is characterized by the seller being the client of the licensee? ,Buyer agency ,Seller agency ,Listing agency ,Subagency ,b,
Final Exam I,1.14,Bernie has a listing and he is now representing the buyer on the transaction as well. Which party does he owe his loyalty to? ,He owes his loyalty to the seller ,Bernie owes his loyalty to the buyer ,He owes his loyalty to the client who hired him first ,Bernie has to assist both the buyer and the seller with no dedicated loyalty ,d,
