,"Florida Real Estate Continuing Education, 1st Edition Question Database 7-12-25",,,,,,,
,,,,,,,,
Book Name,Question #,Question Stem,Answer A,Answer B,Answer C,Answer D,Correct Answer,Correct Answer Explanation
Florida Real Estate Continuing Education,1.1,Which of the following individuals is NOT required to hold a Florida real estate license? ,An appraiser ,Someone who is helping a tenant find a property to lease ,A trustee acting under a deed of trust ,A person advertising their neighbor’s home for sale ,c,
Florida Real Estate Continuing Education,1.2,How long are licenses issued for? ,2 years ,1 year ,3 years ,7 years ,a,
Florida Real Estate Continuing Education,1.3,What is the post-licensing requirement for sales associates? ,Sales associates must complete a 14 hour post-licensing course before the first license renewal ,Sales associates must complete a 45 hour post-licensing course before the first license renewal ,Sales associates must complete a 60 hour post-licensing course before the first license renewal ,Sales associates must complete a 90 hour post-licensing course before the first license renewal ,b,
Florida Real Estate Continuing Education,1.4,Which of the following is exempt from post-license education requirements? ,Brokers ,Sales associates ,Appraisers ,Licensees with a four-year degree in real estate from an accredited university ,d,
Florida Real Estate Continuing Education,1.5,What is the minimum age requirement for a Florida licensee? ,21 ,25 ,18 ,There is no minimum age requirement ,c,
Florida Real Estate Continuing Education,1.6,"If an applicant fails the licensing exam, how long must he or she wait before taking it again? ",14 days ,30 days ,6 months ,There is no waiting period to retake the examination ,d,
Florida Real Estate Continuing Education,2.1,Which of the following is a listing agent required to disclose? ,Title defects on the property ,The seller’s criminal record ,The seller’s HIV diagnosis ,Rumors that the property is haunted ,a,
Florida Real Estate Continuing Education,2.2,Which form of agent representation is prohibited in Florida? ,Buyer agency ,Sister agency ,Dual agency ,Subagency ,c,
Florida Real Estate Continuing Education,2.3,Sally listed a condo last week and has a buyer who wants to submit an offer. She is currently acting as a single agent to her sellers. What is the name of the brokerage relationship she will transition to when she starts representing both the buyer and seller in the transaction? ,She will be acting as a dual broker ,She will be acting as a transaction broker ,Sally will be a double agent ,This transition is not allowed in Florida ,b,
Florida Real Estate Continuing Education,2.4,Which agency relationship consists of the sales associate working as the agent of a broker who is the agent of a buyer or seller? ,Broker agency ,Multiple agency ,Subagency ,Dual agency ,c,
Florida Real Estate Continuing Education,2.5,Which of the following is an agent’s duty to a customer? ,Skill ,Diligence ,Loyalty ,Fairness ,d,
Florida Real Estate Continuing Education,2.6,"Angela is working closely with an investor. The investor sends her a property and asks for her opinion. Angela is passionate about that particular neighborhood and insists that the value will appreciate significantly in the next few years, although she has no supporting data. Is what Angela said appropriate? ",Angela was negligent and misrepresented the facts on the property ,Angela misrepresented her expertise. She can be held accountable if the property does not appreciate ,She intentionally misrepresented the neighborhoods future ,Angela is allowed to discuss the appreciation of properties ,b,
Florida Real Estate Continuing Education,3.1,"Brokers Abigail and Joseph are preparing for a listing appointment with the same seller. Before parting ways, they both agree to ask for a 6% commission and refuse to negotiate. What are they participating in? ",Cost freezing ,Price fixing ,Listing monopoly ,Commission solidarity ,b,
Florida Real Estate Continuing Education,3.2,"Sam the surveyor is trying to get more business, so he starts offering real estate agents $100 per referred client. What should the real estate agents do? ",They should accept the money ,Real estate licensees cannot accept givebacks ,They should ask for a higher referral payment ,"Since it is a kickback, it is illegal for agents to accept it ",d,
Florida Real Estate Continuing Education,3.3,Which statute bans prerecorded calls without prior consumer consent? ,The Robocall Protection Act ,The Phone Soliciting Act ,The Telephone Consumer Protection Act ,The Do Not Call Statute ,c,
Florida Real Estate Continuing Education,3.4,Are advertisements without the brokerage’s name allowed? ,"These types of advertisements are allowed, as long as the licensee’s name is included ",This is called blind advertising and it is prohibited ,This is brokerage neglect and it is illegal ,This is called licensee manipulation and it is not allowed ,b,
Florida Real Estate Continuing Education,3.5,Florida law mandates that escrow accounts do not hold any _______. ,rental property deposits ,earnest money deposits ,rent payments ,licensee personal funds ,d,
Florida Real Estate Continuing Education,3.6,Which of the following is an appropriate real estate team name? ,Miami Luxury Realty ,Orlando Key Brokerage ,Tampa Home Sweet Home Team ,Welcome Home Agency ,c,
Florida Real Estate Continuing Education,4.1,Which of the following is considered to be ethical behavior? ,Cheating on a school exam ,Taking credit for your colleague's work ,Discriminating against a client due to their race ,Disclosing all the defects of a home you are selling ,d,
