,"Florida Real Estate Postlicensing for Sales Associates, 2nd Edition Final Exam Database 5-5-25",,,,,,,
,,,,,,,,
Book Name,Question #,Question Stem,Answer A,Answer B,Answer C,Answer D,Correct Answer,Correct Answer Explanation
Final Exam I,1.1,Advertisements that do not include the brokerage’s name are considered ________.,blind advertising,legal and permissible,false advertising,to be allowed if they include the word “team”,a,
Final Exam I,1.2,An escrow account is also known as a(n) ______.,title account,operating funds account,trust account,deposit account,c,
Final Exam I,1.3,"According to the Florida Telemarketing Act and Florida Telephonic Sales law, solicitors have _____ to identify themselves",1 minute,30 seconds,2 minutes,10 seconds ,b,
Final Exam I,1.4," If there are conflicting demands for escrow funds, this has to be reported to FREC within _____",7 business days,15 calendar days,7 calendar days,15 business days,d,
Final Exam I,1.5,"Under what conditions, if any, can a Florida-based brokerage have an office located outside of Florida?","None, all brokerage offices must be in Florida",If the broker agrees to cooperate with any investigation conducted and registers as an out-of-state office,If they have residency in Florida,If they notify NAR,b,
Final Exam I,1.6,Which insurance policy is primarily for renters?,HO-6 ,HO-8,HO-7,HO-4,d,
Final Exam I,1.7,The consumer reporting agency by the name of ______ compiles claim report files and generates CLUE reports,LexisNexis,FEMA,Florida Insurance Department,DBPR,a,
Final Exam I,1.8,A CLUE report’s history on a property goes back for up to ______.,6 months,12 months,7 years,10 years,c,
Final Exam I,1.9,Flood insurance is ______.,always excluded from homeowner’s insurance and requires a separate policy,always included in homeowner insurance policies,sometimes included in the same policy as the homeowner’s insurance policy,financially infeasible ever since hurricane Irma,a,
Final Exam I,1.10,"For insurance purposes, commercial property must have at least _____ of its total square footage occupied to avoid being considered vacant",25%,31%,53%,75%,b,
Final Exam I,1.11,"The lower one’s insurance deductible, the _____ the person’s premium will be",lower,higher,The deductible and premium are the same amount,The deductible and premium are not related,b,
Final Exam I,1.12,"A(n) __________ eviction occurs when a tenant vacates the leased premises and declares the lease void, claiming that the landlord’s actions and negligence have made the premises unfit for the purposes described in the lease.",constructive,actual,vacated,temporary,a,
Final Exam I,1.13,Tyler is looking to earn more certifications in retail property leasing. What organization specializing in retail properties should he contact?,BOMA,ICSC,NARPM,IREM,b,
Final Exam I,1.14,A tenancy or estate ______ comes into existence when a tenant stays beyond the lease expiration without the landlord’s permission,at sufferance,at will ,at termination,at graduation,a,
Final Exam I,1.15,What is potential gross income?,Debt service and reserves,Uncollected rents and vacancies,All of the operating expenses plus the cash flow,Total rents from all rental units plus other revenues accruing from the property such as vending machines and laundry,d,
Final Exam I,1.16,What is a fund called that is set aside for operating expenses such as redecorating and repairs?,Repairs fund ,Fund trust,Cash reserve,Depreciation escrow,c,
Final Exam I,1.17,A completed foreclosure proceeding _____ lease obligations,does not affect,minimizes,accelerates,terminates,d,
Final Exam I,1.18,Who manages a single large property?,Individual asset managers ,Individual building managers,Resident managers,Commercial managers,b,
Final Exam I,1.19,Which of the following is an example of a commercial property?,An office building,A rented single family home,A vacation rental,An owner-occupied timeshare,a,
Final Exam I,1.20,Which type of home is built without any prior commitment from a homebuyer?,Custom home ,Spec home ,Tract home,Builder-grade home,b,
Final Exam I,1.21,"Under the ______ Act, all real estate transactions impose certain duties and obligations on licensees",Realtor Obligations,Licensee Disclosure ,Brokerage Relationship Disclosure,Transaction Simplification,c,
Final Exam I,1.22,Which agency relationship is established if both seller and buyer agents are from the same firm?,Dual agency,Subagency,Double agency,Same side agency,a,
Final Exam I,1.23,Which of the following duties is NOT required of the transaction broker?,Dealing honestly and fairly ,Providing limited confidentiality unless either party waives in writing,Inspecting the property for the benefit of a party,Accounting for all funds,c,
Final Exam I,1.24,When can a single agency relationship transition to a transaction broker relationship?,Within 48 hours of entering a contract,It is not possible to change agency relationships,Within 3 days of entering a contract,At any time the agent and principal wish to do so,d,
Final Exam I,1.25,"An agent notices that one of his listings has a leaky roof.  If this agent forgets about the leak until after closing, he or she could be held liable for _______.",negligent misrepresentation,insurance fraud,inspecting property without a license,breach of confidentiality,a,
Final Exam I,1.26,Andrew enters a listing agreement with what is considered a “no brokerage relationship” with the seller. What is this called?,A non-brokerage relationship,A nonrepresentation relationship,A single agency relationship,A “No agency” relationship,b,
Final Exam I,1.27,"Florida law makes the presumption that, in the absence of any other relationship, all licensees are operating as ____",transaction brokers,single agents,dual agents,single brokers,a,
Final Exam I,1.28,The part of a property which can be depreciated is called the ________,depreciated schedule,land portion,depreciable basis,capital basis,c,
Final Exam I,1.29,The “net proceeds of a sale” is also known as the _______.,amount realized,value gained,capital gain amount,gross income,a,
Final Exam I,1.30,Real estate tends to require _______ investor or management involvement compared to other investments,the same,less,occasional,more,d,
Final Exam I,1.31,"How do you calculate tax liability, or how much taxes the taxpayer must pay?",Divide the net operating income by the tax rate,Multiply the taxable income by the owner’s marginal tax bracket,Subtract cost recovery expense from the NOI,Take the reserves and divide them by the tax rate,b,
Final Exam I,1.32,Residential rental properties are depreciated over a period of _______.,25.5 years,30 years,27.5 years,35 years,c,
Final Exam I,1.33,What is vacancy and collection loss?,Rental income lost due to tenants’ failure to pay rent plus rental loss from unit vacancies,Rental income lost because of operating expenses,Cashflow lost due to having to replace a roof on an income property,Elimination of all empty units and tenants not paying rent in a given complex,a,
Final Exam I,1.34,"A house sells for $500,000. The commission is 6%, and the co-brokerage split is 50-50. What is the agent’s commission?","$15,000 ","$30,000 ","$18,000 ","$25,000 ",a,
Final Exam I,1.35,"A seller wants $750,000 for a business. Assets in the business, including inventory, furniture, equipment, leasehold improvements, and working capital, have a total value of $500,000. What is the goodwill? ","$150,000 ","$500,000 ","$250,000 ","$100,000 ",c,
Final Exam I,1.36,"A 75% LTV will allow a lender to make a loan of $375,000 on a _______ property","$600,000 ","$750,000 ","$550,000 ","$500,000 ",d,
Final Exam I,1.37,"A property is purchased for $300,000. The property has a net income of $15,000. What is the ROI?",7%,5%,20%,10%,b,
Final Exam I,1.38,"A lender is charging 3.75 points on a $250,000 loan. How much must the borrower pay for points?","$9,375 ","$10,500 ","$3,750 ","$2,500 ",a,
Final Exam I,1.39,"A comparable home has a pool and the subject does not. The appraiser estimates the pool’s value contribution to be $15,000. What should you do?","Adjust the comparable by entering +15,000 in the CMA","Adjust the subject by entering -15,000 in the CMA","Adjust the comparable by entering -15,000 in the CMA","Adjust the subject by entering +15,000 in the CMA",c,
Final Exam I,1.40,"An apartment’s rent is scheduled to increase by 7%. If the current rent is $1,500, what is the new rent?",$105 ,"$2,550 ","$1,800 ","$1,605 ",d,
Final Exam I,1.41,Lead can be found in most homes built before ____.,1978,1912,1956,1984,a,
Final Exam I,1.42,What is an abandoned commercial or industrial site that is likely to contain toxic material called?,Radiation site,Brownfield,Septic field,Industrial waste site,b,
Final Exam I,1.43,What is the most common type of termite?,Drywood termite,Subterranean termite,Subearth termite,Wood termite,b,
Final Exam I,1.44,What is it called when four brokers get together and agree to charge the same set commission percentage?,Commission sharing,Standard practice,Price fixing,Redlining,c,
