,FL-RELEP 4th Ed Question Database 10-17-22,,,,,,,
,,,,,,,,
Book Name,Question #,Question Stem,Answer A,Answer B,Answer C,Answer D,Correct Answer,Correct Answer Explanation
FL-RELEP,1.1,Real estate brokerage is primarily concerned with which of the following activities?,Locating buyers for a seller’s residence and a seller’s residence for a buyer’s purchase,"Procuring a buyer or a tenant for an owner or landlord, and vice versa",Managing sales agents in a brokerage office,Managing real estate portfolios of every property type,b,Brokerage is the business of completing real estate conveyance transactions as opposed to managing personnel or portfolios.  Such transactions can be residential or commercial
FL-RELEP,1.2,The principal forms of property-type specializations are which of the following?,"Agricultural, commercial, and residential properties","Residential, retail, industrial, office, farm and land and special purpose properties ","Residential, industrial, and retail properties",Owned and leased properties ,b,"Improved real property is categorized as residential, commercial and special purpose properties.  Within the commercial property category, you have office, industrial, and retail properties.  Additionally, it is common to put land and agricultural property in their own category"
FL-RELEP,1.3,Real estate license laws are commonly created and administered at what level of government?,Municipal jurisdictions,County government,State government,Federal government ,c,"License laws are enacted by state legislatures, and regulations that enforce the statutes are promulgated by real estate commissions and agencies at the state level.  Federal laws and local building codes also impact real estate practice, but these are not generally considered to be “license laws.”"
FL-RELEP,1.4,Isabella is looking to buy a new home.  She went to a subdivision developer who offered a choice of floor plans and lots to choose from.  What type of home is Isabella considering in this example?,A spec home,A special assessment home,A tract home,A corporate home ,c,"With tract homes, the builder offers a choice of floor plans and the buyer selects a plan and a given lot.  Spec homes are build without prior purchase or commitment from buyer"
FL-RELEP,1.5,Isabella decided to purchase an empty lot and is working with a builder on what features she wants the new house to have.  She has signed a sales contract before the construction has started.  What type of home has Isabella decided to go with in this example?,A spec home,A custom home,A cooperative home,A proforma home,b,"With custom homes, the blue prints are often unique and the buyer has a sales contract before construction starts.  The buyer is often very involved in the design of the new home"
FL-RELEP,2.1,Harold filed his application for sales associate licensure 31 days ago. To date he has not heard if his application has been approved or not.  What is the status of Harold's application?,It is still pending approval until 60 days have passed,It is still pending approval until 90 days have passed,It is automatically approved because 30 days have passed,It is automatically denied because 30 days have passed,b,"""Any application for a license which is not approved or denied within the 90-day or shorter time period, within 15 days after conclusion of a public hearing held on the application, or within 45 days after a recommended order is submitted to the agency and the parties, whichever action and timeframe is latest and applicable, is considered approved…"" 120.60(1)"
FL-RELEP,2.2,A licensed broker in Georgia moved to Florida 6 months ago and now wants to apply for a Florida broker's license under the mutual recognition agreement between Florida and Georgia. What must the broker do to obtain the Florida license under this agreement?,The broker  must complete Florida's post-license educational requirements and pass the licensure exam,The broker must pass the license law exam and pay the application fee,The broker  must submit an application and a certification license history from Georgia,The broker is not eligible for a Florida license under the mutual recognition agreement,d,"Licensing under the mutual recognition agreement is for nonresidents only. 475.180.  ""For purposes of s. 475.180(1), Florida Statutes, a 'resident' of Florida is defined as: (1) a person who has resided (regardless of whether the place or base of residence is a recreational vehicle, hotel, rental unit, or any other temporary or permanent situs) in Florida, continuously for a period of 4 calendar months or more, within the preceding one year…"" 61J2-26.002.  The broker in question is a 6-month resident of Florida"
