Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
Property management and real estate asset management are both real estate management professions. The primary distinction between the two is that,property managers always report to an asset manager,asset managers have greater knowledge of a property's finances,property managers handle day-to-day operations while asset managers manage portfolios of properties,asset managers are primarily responsible for maintenance technicians,3,,FREPSA Quiz 1.1.
People in the real estate business who primarily focus on creating new properties are,brokers,developers,zoning administrators,excavators,2,,FREPSA Quiz 1.2.
"The term ""commercial property"" generally refers to",non-owner-occupied properties,"retail, office and industrial properties",multi-tenant properties,retail properties,2,,FREPSA Quiz 1.3.
Which of the following professionals involved in the real estate business are most concerned about procuring buyers and sellers for clients?,Brokers and agents,Property managers,Corporate real estate managers,Appraisers,1,,FREPSA Quiz 1.4.
Which of the following ways of specializing is common in the real estate brokerage business?,By type of house,By geography,By financial background of client,By type of mortgage,2,,FREPSA Quiz 1.5.
What is an advisory service provider?,A broker of fee simple titles,A corporate real estate broker,A broker performing non-transactional services for a commission,A broker who renders real estate services for a fee,4,,FREPSA Quiz 1.6.
The level of government which is most active in regulating real estate licensees is the,federal government,state government,county government,municipal government where the person resides,2,,FREPSA Quiz 1.7.
What are the two principal types of real estate managers who oversee groups of properties?,Property managers and asset managers,Staff managers and management managers,Property managers and management managers,Lead managers and asset managers,1,,FREPSA Quiz 1.8.
What is the primary focus of an asset manager compared to a property manager?,Maximizing rent in a given apartment complex,Reserves and avoiding excessive depreciation,Financial performance of an income property portfolio,Responsiveness of the HOA to the complex’s tenants,3,,FREPSA Quiz 1.9.
Which of the following is a major commercial brokerage specialization area?,Office leases,Land sales,Single family house sales,Warehouse sales,1,,FREPSA Quiz 1.10.
Which of the following is a general requirement to obtain real estate licensure in Florida?,Must be at least 21 years old,Must disclose any criminal history,Must be a U.S. citizen,Must have a 4-year college degree,2,,FREPSA Quiz 2.1.
Which of the following statements is true?,An applicant with an expunged criminal conviction does not need to disclose that conviction,An applicant who is currently on probation for a criminal conviction will not be placed on the Summary of Applicants list,An applicant’s fingerprints are sent to the FBI for a criminal background check,"If an applicant has a criminal history, he or she will automatically be denied licensure",3,,FREPSA Quiz 2.2.
An applicant must be approved or denied within ______ days of application receipt,90,60,45,30,1,,FREPSA Quiz 2.3.
Attorneys in good standing with the Florida Bar,must complete prelicense education and pass the state exam,must complete prelicense education but are exempt from the state exam,are exempt from prelicense education but must take the state exam,must complete prelicense education and pass the end-of-course exam,3,,FREPSA Quiz 2.4.
Sales associate applicants must,complete 72 hours of prelicense education,pass the end-of-course exam with a score of 70% or higher,pass the state license exam with a score of 75% or higher,pass the state license exam on the first attempt,3,,FREPSA Quiz 2.5.
Which of the following statements is false?,Applicants who fail the state license exam may retake it only once within a year of failing it.,Applicants who fail the state license exam may retake it as many times as necessary to pass it within 2 years of failing it,Applicants who pass the state license exam are issued a license in inactive status,Sales associate applicants who pass the state exam must become associated with a specific broker,1,,FREPSA Quiz 2.6.
Which of the following is a requirement for a broker license but not a requirement for a sales associate license?,Prelicense coursework,Post-license coursework,4-year college degree,2-year experience requirement,4,,FREPSA Quiz 2.7.
A Florida resident is someone who,plans to move to Florida within the next year,was born in Florida regardless of where the person now resides,has resided in Florida continuously for 4 or more months within the previous year,owns property in Florida whether or not the person lives on the property,3,,FREPSA Quiz 2.8.
Florida provides reciprocity licensure for,nonresidents from states with whom Florida has a reciprocity agreement,active duty military personnel who are licensed in another state,any low-income individuals from another state,non U.S. citizens,2,,FREPSA Quiz 2.9.
Who must register with the FREC?,Corporations who wish to become licensed,Only sales associates,Only brokers,Every licensed person or entity,4,,FREPSA Quiz 2.10.
Brokers must complete _____ hours of post-license education,60,45,30,0,1,,FREPSA Quiz 2.11.
When must post-license education be completed?,During each license period after the initial renewal,During the first license period prior to license expiration,Prior to the license expiration date of every license period,Within 1 year of initial licensure,2,,FREPSA Quiz 2.12.
"If a licensee completes 3 hours of Core Law education each year during a license period, how many additional continuing education hours must be completed for that period?",14 hours,11 hours,8 hours,6 hours,3,,FREPSA Quiz 2.13.
