Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
"When a joint tenant dies, what happens to the tenant's interest in the estate?","It passes to the decedent's heirs, who become joint tenants",It passes as a tenancy in common to the decedent's heirs,The joint tenancy terminates and becomes a tenancy in common with the decedent's heirs and the surviving tenants as co-owners,It passes to the surviving joint tenants,D,,Principles of Real Estate Practice in Florida
Which of the following is NOT required when recording a real property transfer in Florida?,Notary signature,Witness signature,Valid property parcel number,Ownership affidavit,C,,Principles of Real Estate Practice in Florida
In what kind of easement is there a dominant tenement and a servient tenement?,An easement in gross,A commercial easement,A personal easement,An easement appurtenant,D,,Principles of Real Estate Practice in Florida
A court might grant an easement by prescription if,"a municipality needs to dig a trench across an owner's property to install a sewer line to a neighboring property, and the owner refuses permission",a property owner sells the front half of a lot and wants to continue using the driveway to reach the rear of the lot,an individual has been using another’s property as an easement for the prescribed period of time without interruption and without the owner’s permission,a property owner wants to prevent the owner of an adjoining property from building a second-story addition that blocks the sunlight to his rose garden,C,,Principles of Real Estate Practice in Florida
A lien is a,debt incurred by a property owner,promissory note granted by a property owner as security for a debt,creditor's claim against property as security for a debt of the property owner,document that creates an easement,C,,Principles of Real Estate Practice in Florida
Which of the following best characterizes a Committee Deed?,An insurance document created to insure a mortgage instrument,A form of deed that conveys title to a foreclosure committee executed by an incompetent party,A conveyance document for incompetent parties executed by a court-ordered group of committee members,The instrument designed for use as a conveyance document in a short sale,C,,Principles of Real Estate Practice in Florida
Mortgage financing is the practice of,buying and selling mortgages as an investment vehicle,lending money to real estate investors to finance the purchase of mortgages,using borrowed funds secured by a mortgage or trust deed to purchase real estate,obtaining equitable title to real estate by buying promissory notes,C,,Principles of Real Estate Practice in Florida
What is the function of a note in a mortgage or trust deed financing arrangement?,It is evidence of the lender's interest in the collateral property,It is evidence of ownership of the mortgage or trust deed,It contains the borrower's promise to maintain the value of the property given as collateral for a loan,It is evidence of the borrower's debt to the lender,D,,Principles of Real Estate Practice in Florida
"If a borrower obtains an interest-only loan of $75,000 at an annual interest rate of 8%, what is the monthly interest payment?",$720,$625,$42,$500,D,,Principles of Real Estate Practice in Florida
Which of the following is true of an amortizing loan?,The amount of annual interest paid is the same for every year of the loan term,Part of each periodic payment is applied to repayment of the loan balance in advance and part is applied to payment of interest in arrears,"Except for any points that may be paid, the interest on the loan balance is usually paid in advance",The interest rate is reduced each year to maintain equal payments even though the outstanding loan balance is smaller,B,,Principles of Real Estate Practice in Florida
