Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
Property management is a growing area of real estate.  This growth is mainly due to the increase in,absentee ownership,an increase in property sales,a decrease in financing available to buy property,no known reason,a,,PREP FL 1.1
People in the real estate business who primarily focus on creating new properties are,brokers,developers,zoning administrators,excavators,b,,PREP FL 1.2
"The term ""commercial property"" generally refers to",non-owner-occupied properties,"retail, office and industrial properties",multi-tenant properties,retail properties,b,,PREP FL 1.3
Which of the following professionals involved in the real estate business are most concerned about procuring buyers and sellers for clients?,Brokers and agents,Property managers,Corporate real estate managers,Appraisers,a,,PREP FL 1.4
Which of the following ways of specializing is common in the real estate brokerage business?,By type of house,By geography,By financial background of client,By type of mortgage,b,,PREP FL 1.5
What is an appraisal?,A report completed by a real estate broker giving information about a piece of property,Contains information such as a title report and survey,It is an opinion of a property’s value,Not allowed to be completed by a real estate agent,c,,PREP FL 1.6
The level of government which is most active in regulating real estate licensees is the,federal government,state government,county government,municipal government where the person resides,b,,PREP FL 1.7
Which of the following occurred in 1923 to protect public welfare regarding real estate transactions?,The Florida Real Estate Commission was established,The Department of Business and Professional Regulation established the Division of Real Estate,The Florida Legislature passed F. S. Chapter 475 as the first real estate license law,The Florida Real Estate Commission established the first license law,c,,PREP FL 2.1
A property seller must disclose defects in the property,even if the seller has no knowledge of the defects,only if a property inspector uncovers a defect,if the defect materially affects the value of the property,as required under caveat emptor,c,,PREP FL 2.2
"Which Florida statute is known as the Administrative Procedure Act and provides procedures for government agencies to exercise their specified authority, including rule making?",Chapter 120,Chapter 61J2,Chapter 455,Chapter 20,a,,PREP FL 2.3
Which of the following is a general requirement to obtain real estate licensure in Florida?,Must be at least 21 years old,Must disclose any criminal history,Must be a U.S. citizen,Must have a 4-year college degree,b,,PREP FL 2.4
Which of the following fees may be waived for a member of the U.S. armed forces?,Real Estate Recovery Fund fee,Application fee,Fingerprint processing fee,Initial licensing fee,d,,PREP FL 2.5
Which of the following statements is true?,An applicant with an expunged criminal conviction does not need to disclose that conviction,An applicant who is currently on probation for a criminal conviction will not be placed on the Summary of Applicants list,An applicant’s fingerprints are sent to the FBI for a criminal background check,"If an applicant has a criminal history, he or she will automatically be denied licensure",c,,PREP FL 2.6
An applicant must be approved or denied within ______ days of application receipt,90,60,45,30,a,,PREP FL 2.7
Under what circumstances may pre-license class hours be made up?,Only with Commission approval,If any student misses more than 8 classroom hours,If a student misses more than 8 hours due to an economic hardship,If a student misses more than 8 hours due to illness,d,,PREP FL 2.8
Attorneys in good standing with the Florida Bar,must complete pre-license education and pass the state exam,must complete pre-license education but are exempt from the state exam,are exempt from pre-license education but must take the state exam,must complete pre-license education and pass the end-of-course exam,c,,PREP FL 2.9
Sales associate applicants must,complete 72 hours of pre-license education,pass the end-of-course exam with a score of 70% or higher,pass the state license exam with a score of 75% or higher,pass the state license exam on the first attempt,c,,PREP FL 2.10
